,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,transcript_hacat_stim_1,transcript_hacat_stim_2,transcript_hacat_unstim_1,transcript_hacat_unstim_2,transcript_myla_1,transcript_myla_2,transcript_naive_T_1,transcript_naive_T_2,transcript_GM12878,transcript_hacat_stim,transcript_hacat_unstim,transcript_myla,transcript_naive_T,linked_SNP_hacat_stim_1,linked_SNP_hacat_stim_2,linked_SNP_hacat_unstim_1,linked_SNP_hacat_unstim_2,linked_SNP_myla_1,linked_SNP_myla_2,linked_SNP_naive_T_1,linked_SNP_naive_T_2,linked_SNP_GM12878,linked_SNP_hacat_stim,linked_SNP_hacat_unstim,linked_SNP_myla,linked_SNP_naive_T,gene_name
10,ENSG00000086589,,,,,,,,,,,,0.0024037011348100002,,,,,,,,,,,,,"{'ENST00000521464', 'ENST00000447771', 'ENST00000199814', 'ENST00000518917'}",,,,,,,,,,,,,"{'rs2233278_rs76956521', 'rs17728338_rs76956521', 'rs79901336_rs76956521', 'rs146571698_rs76956521', 'rs75851973_rs76956521', 'rs74817271_rs76956521', 'rs115682037_rs76956521', 'rs76462670_rs76956521', 'rs76956521_rs76956521', 'rs8177833_rs76956521'}",,RBM22
11,ENSG00000090339,,,,,1.40140683006e-05,,,,1.22169780512e-24,,,1.9414697785000002e-05,,,,,,"{'ENST00000264832', 'ENST00000423829', 'ENST00000588645'}",,,,"{'ENST00000264832', 'ENST00000423829', 'ENST00000588645'}",,,"{'ENST00000264832', 'ENST00000423829', 'ENST00000588645'}",,,,,,{'rs35251378_rs34725611'},,,,{'rs34725611_rs34725611'},,,{'rs35251378_rs34725611'},,ICAM1
12,ENSG00000092020,,0.00818155609271,,0.0010010358103,,,,,,0.00029703432249299997,3.49857435891e-05,,,,"{'ENST00000555644', 'ENST00000261475', 'ENST00000557278', 'ENST00000554361'}",,"{'ENST00000555644', 'ENST00000261475', 'ENST00000557278', 'ENST00000554361'}",,,,,,"{'ENST00000555644', 'ENST00000261475', 'ENST00000557278', 'ENST00000554361'}","{'ENST00000555644', 'ENST00000261475', 'ENST00000557278', 'ENST00000554361'}",,,,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,,,,,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}","{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,,PPP2R3C
13,ENSG00000100890,,0.00818155609271,,0.0010010358103,,,,,,0.00029703432249299997,3.49857435891e-05,,,,"{'ENST00000603611', 'ENST00000604948', 'ENST00000605201', 'ENST00000557404', 'ENST00000321130', 'ENST00000250377', 'ENST00000604073', 'ENST00000603544', 'ENST00000605870', 'ENST00000534898'}",,"{'ENST00000603611', 'ENST00000604948', 'ENST00000605201', 'ENST00000557404', 'ENST00000321130', 'ENST00000250377', 'ENST00000604073', 'ENST00000603544', 'ENST00000605870', 'ENST00000534898'}",,,,,,"{'ENST00000603611', 'ENST00000604948', 'ENST00000605201', 'ENST00000557404', 'ENST00000321130', 'ENST00000250377', 'ENST00000604073', 'ENST00000603544', 'ENST00000605870', 'ENST00000534898'}","{'ENST00000603611', 'ENST00000604948', 'ENST00000605201', 'ENST00000557404', 'ENST00000321130', 'ENST00000250377', 'ENST00000604073', 'ENST00000603544', 'ENST00000605870', 'ENST00000534898'}",,,,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,,,,,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}","{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,,KIAA0391
14,ENSG00000100902,,6.65868748119e-05,,,,,,,,1.03320698465e-05,,,,,"{'ENST00000556506', 'ENST00000628955', 'ENST00000622405', 'ENST00000553809', 'ENST00000627895', 'ENST00000555764', 'ENST00000261479'}",,,,,,,,"{'ENST00000556506', 'ENST00000628955', 'ENST00000622405', 'ENST00000553809', 'ENST00000627895', 'ENST00000555764', 'ENST00000261479'}",,,,,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,,,,,,,"{'rs12433011_rs12884468', 'rs7152376_rs12884468', 'rs12883343_rs12884468', 'rs12884468_rs12884468'}",,,,PSMA6
15,ENSG00000105397,,,,,0.00806572117834,,,,,,,0.0015982047135000002,,,,,,"{'ENST00000264818', 'ENST00000524462', 'ENST00000529370', 'ENST00000530829', 'ENST00000531836', 'ENST00000525621'}",,,,,,,"{'ENST00000264818', 'ENST00000524462', 'ENST00000529370', 'ENST00000530829', 'ENST00000531836', 'ENST00000525621'}",,,,,,{'rs35251378_rs34725611'},,,,,,,{'rs35251378_rs34725611'},,TYK2
16,ENSG00000110944,,8.27191332523e-07,,,,,1.0,7.84437186823e-15,5.95946371325e-14,5.65217249496e-10,,0.00203378241663,7.18351428953e-06,,{'ENST00000228534'},,,,,{'ENST00000228534'},{'ENST00000228534'},{'ENST00000228534'},{'ENST00000228534'},,{'ENST00000228534'},{'ENST00000228534'},,"{'rs148874097_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57870697_rs2020854', 'rs11575234_rs2020854', 'rs117779516_rs2020854', 'rs2066819_rs2020854', 'rs11575231_rs2020854', 'rs371263878_rs2020854', 'rs113384062_rs2020854', 'rs57367440_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs75598973_rs2020854', 'rs11575232_rs2020854'}",,,,,{'rs11171806_rs2020854'},"{'rs148874097_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57870697_rs2020854', 'rs11575234_rs2020854', 'rs117779516_rs2020854', 'rs2066819_rs2020854', 'rs11575231_rs2020854', 'rs371263878_rs2020854', 'rs11171806_rs2020854', 'rs113384062_rs2020854', 'rs57367440_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs75598973_rs2020854', 'rs11575232_rs2020854'}","{'rs148874097_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57870697_rs2020854', 'rs11575234_rs2020854', 'rs117779516_rs2020854', 'rs2066819_rs2020854', 'rs11575231_rs2020854', 'rs371263878_rs2020854', 'rs11171806_rs2020854', 'rs113384062_rs2020854', 'rs57367440_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs75598973_rs2020854', 'rs11575232_rs2020854'}","{'rs148874097_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57870697_rs2020854', 'rs11575234_rs2020854', 'rs117779516_rs2020854', 'rs2066819_rs2020854', 'rs11575231_rs2020854', 'rs371263878_rs2020854', 'rs113384062_rs2020854', 'rs57367440_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs75598973_rs2020854', 'rs11575232_rs2020854'}",,"{'rs148874097_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57870697_rs2020854', 'rs11575234_rs2020854', 'rs117779516_rs2020854', 'rs2066819_rs2020854', 'rs11575231_rs2020854', 'rs371263878_rs2020854', 'rs11171806_rs2020854', 'rs113384062_rs2020854', 'rs57367440_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs75598973_rs2020854', 'rs11575232_rs2020854'}","{'rs148874097_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57870697_rs2020854', 'rs11575234_rs2020854', 'rs117779516_rs2020854', 'rs2066819_rs2020854', 'rs11575231_rs2020854', 'rs371263878_rs2020854', 'rs11171806_rs2020854', 'rs113384062_rs2020854', 'rs57367440_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs75598973_rs2020854', 'rs11575232_rs2020854'}",IL23A
17,ENSG00000110955,,,,,,,1.0468877502500001e-08,0.00158669617452,0.0010089610375,,,,1.3278022645e-07,,,,,,,"{'ENST00000552959', 'ENST00000262030', 'ENST00000551020', 'ENST00000553007', 'ENST00000551570'}","{'ENST00000552959', 'ENST00000262030', 'ENST00000551020', 'ENST00000553007', 'ENST00000551570'}","{'ENST00000552959', 'ENST00000262030', 'ENST00000551020', 'ENST00000553007', 'ENST00000551570'}",,,,"{'ENST00000552959', 'ENST00000262030', 'ENST00000551020', 'ENST00000553007', 'ENST00000551570'}",,,,,,,{'rs57343616_rs2020854'},{'rs57343616_rs2020854'},{'rs57343616_rs2020854'},,,,{'rs57343616_rs2020854'},ATP5F1B
18,ENSG00000110958,,,,,,,1.89423467633e-07,,0.0007939286315689997,,,,1.24899829782e-06,,,,,,,"{'ENST00000448157', 'ENST00000614328', 'ENST00000436399', 'ENST00000414274', 'ENST00000456859', 'ENST00000262033'}",,"{'ENST00000448157', 'ENST00000614328', 'ENST00000436399', 'ENST00000414274', 'ENST00000456859', 'ENST00000262033'}",,,,"{'ENST00000448157', 'ENST00000614328', 'ENST00000436399', 'ENST00000414274', 'ENST00000456859', 'ENST00000262033'}",,,,,,,{'rs57343616_rs2020854'},,{'rs57343616_rs2020854'},,,,{'rs57343616_rs2020854'},PTGES3
19,ENSG00000111540,,,,,,,1.14745420629e-05,0.0018328481311199998,,,,,1.1711158765799999e-09,,,,,,,"{'ENST00000548068', 'ENST00000360299', 'ENST00000551459', 'ENST00000448789', 'ENST00000553116', 'ENST00000549915'}","{'ENST00000548068', 'ENST00000360299', 'ENST00000551459', 'ENST00000448789', 'ENST00000553116', 'ENST00000549915'}",,,,,"{'ENST00000548068', 'ENST00000360299', 'ENST00000551459', 'ENST00000448789', 'ENST00000553116', 'ENST00000549915'}",,,,,,,{'rs57343616_rs2020854'},{'rs57343616_rs2020854'},,,,,{'rs57343616_rs2020854'},RAB5B
20,ENSG00000111602,,4.23225840401e-11,,1.32952473651e-09,2.1971109523900003e-06,0.000185526099658,5.3669685315e-09,4.36283917259e-06,6.5302873738899985e-25,3.17581130778e-12,5.07205367717e-11,3.800843625e-08,6.683135794340003e-10,,"{'ENST00000553532', 'ENST00000229201'}",,"{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}","{'ENST00000553532', 'ENST00000229201'}",,"{'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57870697_rs2020854', 'rs57343616_rs2020854', 'rs117779516_rs2020854', 'rs371263878_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs2066819_rs2020854'}",,"{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs2629447_rs2020854', 'rs75754909_rs2020854', 'rs41423244_rs2020854', 'rs57870697_rs2020854', 'rs11358218_rs2020854', 'rs77447765_rs2020854', 'rs76430365_rs2020854', 'rs35157967_rs2020854', 'rs181006907_rs2020854', 'rs59295315_rs2020854', 'rs2066819_rs2020854', 'rs79750959_rs2020854', 'rs11171803_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs79824801_rs2020854', 'rs2291361_rs2020854', 'rs150955176_rs2020854', 'rs117779516_rs2020854', 'rs11171806_rs2020854', 'rs2066818_rs2020854', 'rs2643623_rs2020854', 'rs11575224_rs2020854', 'rs57279772_rs2020854', 'rs2643626_rs2020854', 'rs703830_rs2020854', 'rs116934693_rs2020854', 'rs10876882_rs2020854', 'rs78149779_rs2020854', 'rs79101914_rs2020854', 'rs58852079_rs2020854', 'rs80317430_rs2020854', 'rs2695789_rs2020854', 'rs74496027_rs2020854', 'rs192026667_rs2020854', 'rs11575248_rs2020854', 'rs113382723_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs773664_rs2020854', 'rs111492967_rs2020854', 'rs371263878_rs2020854', 'rs2695788_rs2020854', 'rs77768890_rs2020854', 'rs60192809_rs2020854', 'rs2066808_rs2020854', 'rs145286577_rs2020854', 'rs2371494_rs2020854', 'rs142837313_rs2020854', 'rs62956461_rs2020854', 'rs773665_rs2020854', 'rs59811639_rs2020854'}","{'rs57870697_rs2020854', 'rs1274490_rs2020854', 'rs17118431_rs2020854', 'rs57367440_rs2020854', 'rs59295315_rs2020854', 'rs2066819_rs2020854', 'rs11171803_rs2020854', 'rs59822547_rs2020854', 'rs77131854_rs2020854', 'rs150955176_rs2020854', 'rs2291361_rs2020854', 'rs11575234_rs2020854', 'rs117779516_rs2020854', 'rs113384062_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs871130_rs2020854', 'rs112931321_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs58852079_rs2020854', 'rs808919_rs2020854', 'rs149241310_rs2020854', 'rs117305040_rs2020854', 'rs744051_rs2020854', 'rs773665_rs2020854', 'rs2371454_rs2020854', 'rs148874097_rs2020854', 'rs111885088_rs2020854', 'rs17118439_rs2020854', 'rs77120931_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs79718165_rs2020854', 'rs57343616_rs2020854', 'rs76151170_rs2020854', 'rs11575231_rs2020854', 'rs371263878_rs2020854', 'rs138479608_rs2020854', 'rs138540086_rs2020854', 'rs145286577_rs2020854', 'rs62956461_rs2020854', 'rs75598973_rs2020854', 'rs60542959_rs2020854', 'rs11575232_rs2020854'}","{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs2629447_rs2020854', 'rs41423244_rs2020854', 'rs17118431_rs2020854', 'rs77447765_rs2020854', 'rs76430365_rs2020854', 'rs181006907_rs2020854', 'rs79750959_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs77131854_rs2020854', 'rs2643623_rs2020854', 'rs57279772_rs2020854', 'rs703830_rs2020854', 'rs112931321_rs2020854', 'rs116934693_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs10876882_rs2020854', 'rs78149779_rs2020854', 'rs117305040_rs2020854', 'rs2695789_rs2020854', 'rs744051_rs2020854', 'rs111885088_rs2020854', 'rs17118439_rs2020854', 'rs113382723_rs2020854', 'rs773664_rs2020854', 'rs57343616_rs2020854', 'rs76151170_rs2020854', 'rs2695788_rs2020854', 'rs138479608_rs2020854', 'rs60192809_rs2020854', 'rs60542959_rs2020854', 'rs59811639_rs2020854'}","{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs184104056_rs2020854', 'rs41423244_rs2020854', 'rs57870697_rs2020854', 'rs78121408_rs2020854', 'rs17118431_rs2020854', 'rs77447765_rs2020854', 'rs181006907_rs2020854', 'rs2066819_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs77131854_rs2020854', 'rs117779516_rs2020854', 'rs2643623_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs77853814_rs2020854', 'rs79436528_rs2020854', 'rs112931321_rs2020854', 'rs140488289_rs2020854', 'rs116934693_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs78149779_rs2020854', 'rs117305040_rs2020854', 'rs2695789_rs2020854', 'rs36207871_rs2020854', 'rs744051_rs2020854', 'rs148605139_rs2020854', 'rs116849218_rs2020854', 'rs111885088_rs2020854', 'rs17118439_rs2020854', 'rs113382723_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57343616_rs2020854', 'rs76151170_rs2020854', 'rs371263878_rs2020854', 'rs2695788_rs2020854', 'rs138479608_rs2020854', 'rs60542959_rs2020854', 'rs59811639_rs2020854'}","{'rs79824801_rs2020854', 'rs11575248_rs2020854', 'rs75754909_rs2020854', 'rs57343616_rs2020854', 'rs11358218_rs2020854', 'rs111492967_rs2020854', 'rs79101914_rs2020854', 'rs11171806_rs2020854', 'rs80317430_rs2020854', 'rs77768890_rs2020854', 'rs35157967_rs2020854', 'rs2066808_rs2020854', 'rs74496027_rs2020854', 'rs2371494_rs2020854', 'rs142837313_rs2020854', 'rs2643626_rs2020854', 'rs192026667_rs2020854'}","{'rs61338787_rs2020854', 'rs17118431_rs2020854', 'rs57367440_rs2020854', 'rs35157967_rs2020854', 'rs181006907_rs2020854', 'rs59822547_rs2020854', 'rs11575234_rs2020854', 'rs2643623_rs2020854', 'rs11575224_rs2020854', 'rs57279772_rs2020854', 'rs2643626_rs2020854', 'rs112931321_rs2020854', 'rs117305040_rs2020854', 'rs111885088_rs2020854', 'rs148874097_rs2020854', 'rs17118439_rs2020854', 'rs57343616_rs2020854', 'rs60192809_rs2020854', 'rs138540086_rs2020854', 'rs145286577_rs2020854', 'rs59811639_rs2020854', 'rs41392645_rs2020854', 'rs57870697_rs2020854', 'rs76430365_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs77131854_rs2020854', 'rs113384062_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs2371454_rs2020854', 'rs113382723_rs2020854', 'rs77120931_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs76151170_rs2020854', 'rs2695788_rs2020854', 'rs773665_rs2020854', 'rs60542959_rs2020854', 'rs11575232_rs2020854', 'rs75754909_rs2020854', 'rs1274490_rs2020854', 'rs77447765_rs2020854', 'rs59295315_rs2020854', 'rs79750959_rs2020854', 'rs2066819_rs2020854', 'rs79824801_rs2020854', 'rs150955176_rs2020854', 'rs2066818_rs2020854', 'rs703830_rs2020854', 'rs116934693_rs2020854', 'rs78149779_rs2020854', 'rs79101914_rs2020854', 'rs149241310_rs2020854', 'rs80317430_rs2020854', 'rs2695789_rs2020854', 'rs11575248_rs2020854', 'rs773664_rs2020854', 'rs11575229_rs2020854', 'rs371263878_rs2020854', 'rs138479608_rs2020854', 'rs2371494_rs2020854', 'rs2629447_rs2020854', 'rs41423244_rs2020854', 'rs11358218_rs2020854', 'rs11171803_rs2020854', 'rs2291361_rs2020854', 'rs117779516_rs2020854', 'rs11171806_rs2020854', 'rs871130_rs2020854', 'rs10876882_rs2020854', 'rs58852079_rs2020854', 'rs808919_rs2020854', 'rs74496027_rs2020854', 'rs744051_rs2020854', 'rs192026667_rs2020854', 'rs79718165_rs2020854', 'rs111492967_rs2020854', 'rs11575231_rs2020854', 'rs77768890_rs2020854', 'rs2066808_rs2020854', 'rs62956461_rs2020854', 'rs142837313_rs2020854', 'rs75598973_rs2020854'}","{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs184104056_rs2020854', 'rs41423244_rs2020854', 'rs57870697_rs2020854', 'rs78121408_rs2020854', 'rs77447765_rs2020854', 'rs181006907_rs2020854', 'rs2066819_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs117779516_rs2020854', 'rs2066818_rs2020854', 'rs2643623_rs2020854', 'rs11575224_rs2020854', 'rs77853814_rs2020854', 'rs79436528_rs2020854', 'rs140488289_rs2020854', 'rs116934693_rs2020854', 'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs36207871_rs2020854', 'rs148605139_rs2020854', 'rs116849218_rs2020854', 'rs113382723_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs371263878_rs2020854', 'rs2695788_rs2020854', 'rs59811639_rs2020854'}","{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs2629447_rs2020854', 'rs75754909_rs2020854', 'rs41423244_rs2020854', 'rs57870697_rs2020854', 'rs11358218_rs2020854', 'rs77447765_rs2020854', 'rs76430365_rs2020854', 'rs35157967_rs2020854', 'rs181006907_rs2020854', 'rs59295315_rs2020854', 'rs2066819_rs2020854', 'rs79750959_rs2020854', 'rs11171803_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs79824801_rs2020854', 'rs2291361_rs2020854', 'rs150955176_rs2020854', 'rs117779516_rs2020854', 'rs11171806_rs2020854', 'rs2066818_rs2020854', 'rs2643623_rs2020854', 'rs11575224_rs2020854', 'rs57279772_rs2020854', 'rs2643626_rs2020854', 'rs703830_rs2020854', 'rs116934693_rs2020854', 'rs10876882_rs2020854', 'rs78149779_rs2020854', 'rs79101914_rs2020854', 'rs58852079_rs2020854', 'rs80317430_rs2020854', 'rs2695789_rs2020854', 'rs74496027_rs2020854', 'rs192026667_rs2020854', 'rs11575248_rs2020854', 'rs113382723_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs773664_rs2020854', 'rs111492967_rs2020854', 'rs371263878_rs2020854', 'rs2695788_rs2020854', 'rs77768890_rs2020854', 'rs60192809_rs2020854', 'rs2066808_rs2020854', 'rs145286577_rs2020854', 'rs2371494_rs2020854', 'rs142837313_rs2020854', 'rs62956461_rs2020854', 'rs773665_rs2020854', 'rs59811639_rs2020854'}","{'rs61338787_rs2020854', 'rs17118431_rs2020854', 'rs57367440_rs2020854', 'rs149209614_rs2020854', 'rs181006907_rs2020854', 'rs59822547_rs2020854', 'rs11575234_rs2020854', 'rs2695782_rs2020854', 'rs2643623_rs2020854', 'rs11575224_rs2020854', 'rs57279772_rs2020854', 'rs2643626_rs2020854', 'rs112931321_rs2020854', 'rs117305040_rs2020854', 'rs148874097_rs2020854', 'rs111885088_rs2020854', 'rs17118439_rs2020854', 'rs57343616_rs2020854', 'rs60192809_rs2020854', 'rs138540086_rs2020854', 'rs145286577_rs2020854', 'rs59811639_rs2020854', 'rs41392645_rs2020854', 'rs57870697_rs2020854', 'rs76430365_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs77131854_rs2020854', 'rs113384062_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs2371454_rs2020854', 'rs113382723_rs2020854', 'rs77120931_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs76151170_rs2020854', 'rs76466034_rs2020854', 'rs2695788_rs2020854', 'rs773665_rs2020854', 'rs60542959_rs2020854', 'rs11575232_rs2020854', 'rs75754909_rs2020854', 'rs1274490_rs2020854', 'rs77447765_rs2020854', 'rs59295315_rs2020854', 'rs2066819_rs2020854', 'rs79750959_rs2020854', 'rs79824801_rs2020854', 'rs150955176_rs2020854', 'rs2066818_rs2020854', 'rs703830_rs2020854', 'rs116934693_rs2020854', 'rs78149779_rs2020854', 'rs149241310_rs2020854', 'rs80317430_rs2020854', 'rs2695789_rs2020854', 'rs773664_rs2020854', 'rs11575229_rs2020854', 'rs371263878_rs2020854', 'rs138479608_rs2020854', 'rs2371494_rs2020854', 'rs2629447_rs2020854', 'rs41423244_rs2020854', 'rs11358218_rs2020854', 'rs11171803_rs2020854', 'rs2291361_rs2020854', 'rs117779516_rs2020854', 'rs871130_rs2020854', 'rs143405823_rs2020854', 'rs10876882_rs2020854', 'rs808919_rs2020854', 'rs58852079_rs2020854', 'rs74496027_rs2020854', 'rs744051_rs2020854', 'rs192026667_rs2020854', 'rs79718165_rs2020854', 'rs11575231_rs2020854', 'rs77768890_rs2020854', 'rs62956461_rs2020854', 'rs142837313_rs2020854', 'rs75598973_rs2020854'}","{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs184104056_rs2020854', 'rs75754909_rs2020854', 'rs41423244_rs2020854', 'rs57870697_rs2020854', 'rs11358218_rs2020854', 'rs78121408_rs2020854', 'rs17118431_rs2020854', 'rs77447765_rs2020854', 'rs35157967_rs2020854', 'rs181006907_rs2020854', 'rs59295315_rs2020854', 'rs2066819_rs2020854', 'rs11171803_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs79824801_rs2020854', 'rs77131854_rs2020854', 'rs150955176_rs2020854', 'rs2291361_rs2020854', 'rs117779516_rs2020854', 'rs11171806_rs2020854', 'rs2643623_rs2020854', 'rs2066818_rs2020854', 'rs11575224_rs2020854', 'rs2643626_rs2020854', 'rs77853814_rs2020854', 'rs79436528_rs2020854', 'rs112931321_rs2020854', 'rs140488289_rs2020854', 'rs116934693_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs78149779_rs2020854', 'rs79101914_rs2020854', 'rs58852079_rs2020854', 'rs80317430_rs2020854', 'rs117305040_rs2020854', 'rs2695789_rs2020854', 'rs74496027_rs2020854', 'rs36207871_rs2020854', 'rs744051_rs2020854', 'rs148605139_rs2020854', 'rs192026667_rs2020854', 'rs116849218_rs2020854', 'rs111885088_rs2020854', 'rs17118439_rs2020854', 'rs113382723_rs2020854', 'rs11575248_rs2020854', 'ALU_umary_ALU_9228_rs2020854', 'rs11575229_rs2020854', 'rs57343616_rs2020854', 'rs76151170_rs2020854', 'rs111492967_rs2020854', 'rs371263878_rs2020854', 'rs2695788_rs2020854', 'rs77768890_rs2020854', 'rs138479608_rs2020854', 'rs2066808_rs2020854', 'rs145286577_rs2020854', 'rs2371494_rs2020854', 'rs142837313_rs2020854', 'rs62956461_rs2020854', 'rs773665_rs2020854', 'rs60542959_rs2020854', 'rs59811639_rs2020854'}",TIMELESS
21,ENSG00000113312,,,,,,,0.00783788647415,,0.0029604754760500004,0.00206983006314,0.0018965193662600001,,7.6184422221e-05,,,,,,,"{'ENST00000522793', 'ENST00000231238'}",,"{'ENST00000522793', 'ENST00000231238'}","{'ENST00000522793', 'ENST00000231238'}","{'ENST00000522793', 'ENST00000231238'}",,"{'ENST00000522793', 'ENST00000231238'}",,,,,,,"{'rs11135059_rs4921482', 'rs62377586_rs4921482', 'rs4921485_rs4921482', 'rs4921482_rs4921482', 'rs7709212_rs4921482'}",,"{'rs4921482_rs4921482', 'rs7709212_rs4921482', 'rs62377586_rs4921482'}","{'rs11135059_rs4921482', 'rs62377586_rs4921482', 'rs4921485_rs4921482', 'rs7725339_rs4921482', 'rs4921482_rs4921482', 'rs7709212_rs4921482'}","{'rs11135059_rs4921482', 'rs62377586_rs4921482', 'rs4921485_rs4921482', 'rs7725339_rs4921482', 'rs4921482_rs4921482', 'rs7709212_rs4921482'}",,"{'rs11135059_rs4921482', 'rs62377586_rs4921482', 'rs4921485_rs4921482', 'rs4921482_rs4921482', 'rs7709212_rs4921482'}",TTC1
22,ENSG00000116704,,,,,,,5.11878753923e-29,2.64878727447e-12,4.26652792179e-09,,,,6.376205863609997e-34,,,,,,,{'ENST00000235345'},{'ENST00000235345'},{'ENST00000235345'},,,,{'ENST00000235345'},,,,,,,"{'rs11209003_rs12044149', 'rs12044149_rs12044149', 'rs12060309_rs12044149'}","{'rs11209003_rs12044149', 'rs12044149_rs12044149', 'rs12060309_rs12044149'}","{'rs11209003_rs12044149', 'rs12044149_rs12044149', 'rs12060309_rs12044149'}",,,,"{'rs11209003_rs12044149', 'rs12044149_rs12044149', 'rs12060309_rs12044149'}",SLC35D1
23,ENSG00000116717,,,,,,,,0.00020790351860400005,,,,,,,,,,,,,"{'ENST00000370985', 'ENST00000648742', 'ENST00000617962', 'ENST00000650283', 'ENST00000370986'}",,,,,,,,,,,,,"{'rs11209003_rs12044149', 'rs12044149_rs12044149', 'rs12060309_rs12044149'}",,,,,,GADD45A
