loci,combined,GM12878,hacat_stim,hacat_unstim,myla,naive_T
rs230534,NFKB1 (overlapping); MANBA; UBE2D3; PPP3CA; SLC39A8; CISD2; SLC9B1; SLC9B2; BDH2,NFKB1; UBE2D3; CISD2; SLC9B2,"NFKB1 (all), TAD level:1; UBE2D3 (all), TAD level:1; CISD2 (hacat_stim only), TAD level:1","NFKB1 (all), TAD level:1; UBE2D3 (hacat_unstim_2, hacat_unstim only), TAD level:1","NFKB1 (all), TAD level:2; SLC9B2 (myla_1, myla only), TAD level:2; BDH2 (myla_1, myla only), TAD level:2","NFKB1 (all); MANBA (naive_T_2, naive_T only); UBE2D3 (all); PPP3CA (naive_T only); SLC39A8 (all); CISD2 (all); SLC9B1 (all); SLC9B2 (naive_T_2, naive_T only); BDH2 (naive_T_2, naive_T only)"
rs2651804,TRPM5; CD81; TSSC4,,"CD81 (hacat_stim only), TAD level:4; TSSC4 (hacat_stim_2, hacat_stim only), TAD level:4","CD81 (hacat_unstim only), TAD level:2; TSSC4 (hacat_unstim_2, hacat_unstim only), TAD level:1",,TRPM5 (naive_T only)
rs2736340,FDFT1; BLK (overlapping); NEIL2,FDFT1; BLK; NEIL2,,,,
rs36073657,TNPO3 (overlapping); ATP6V1F; CALU; IRF5; HILPDA; KCP; TSPAN33; AHCYL2; METTL2B,TNPO3; IRF5; TSPAN33,"TNPO3 (hacat_stim_2, hacat_stim only), TAD level:2; IRF5 (hacat_stim_2, hacat_stim only), TAD level:2; KCP (hacat_stim_2, hacat_stim only), TAD level:1","TNPO3 (all), TAD level:3; IRF5 (hacat_unstim_2, hacat_unstim only), TAD level:3","TNPO3 (all), TAD level:3; IRF5 (myla_1, myla only), TAD level:3; HILPDA (myla_1, myla only), TAD level:2","TNPO3 (all); ATP6V1F (naive_T only); CALU (naive_T only); AHCYL2 (naive_T only); METTL2B (naive_T_2, naive_T only)"
rs3790566,SLC35D1; GADD45A; SERBP1,SLC35D1; SERBP1,"GADD45A (hacat_stim_2 only), TAD level:outside tad; SERBP1 (hacat_stim_2, hacat_stim only), TAD level:1","SERBP1 (hacat_unstim only), TAD level:1",,
rs3792783,CD74; NDST1; TCOF1; RBM22; DCTN4; TNIP1; G3BP1; RPS14; SYNPO; ATOX1; GM2A,CD74,"NDST1 (hacat_stim only), TAD level:1; TNIP1 (hacat_stim only), TAD level:2; SYNPO (hacat_stim_2, hacat_stim only), TAD level:1; ATOX1 (hacat_stim_2 only), TAD level:not found; GM2A (hacat_stim_2 only), TAD level:2",,"RBM22 (myla only), TAD level:2; G3BP1 (myla only), TAD level:not found; ATOX1 (myla_1, myla only), TAD level:not found; GM2A (myla only), TAD level:3","CD74 (all); TCOF1 (naive_T only); RBM22 (naive_T only); DCTN4 (naive_T_1, naive_T only); RPS14 (all); GM2A (naive_T only)"
rs3821236,STAT1; STAT4; ASNSD1; MFSD6; NABP1,STAT4,"STAT1 (hacat_stim_2, hacat_stim only), TAD level:not found; MFSD6 (hacat_stim_2, hacat_stim only), TAD level:not found","MFSD6 (hacat_unstim_2, hacat_unstim only), TAD level:not found","MFSD6 (myla only), TAD level:not found","STAT1 (naive_T_2, naive_T only); STAT4 (all); ASNSD1 (naive_T only); MFSD6 (all); NABP1 (all)"
rs4853458,NABP1,,,,,NABP1 (all)
rs589446,IFT80; SMC4; TRIM59; IQCJ-SCHIP1,IFT80; SMC4; TRIM59,"IFT80 (hacat_stim_2, hacat_stim only), TAD level:2; SMC4 (hacat_stim_2, hacat_stim only), TAD level:not found; IQCJ-SCHIP1 (hacat_stim_2, hacat_stim only), TAD level:2","IFT80 (hacat_unstim only), TAD level:2; SMC4 (hacat_unstim only), TAD level:not found","IFT80 (myla_1, myla only), TAD level:1; SMC4 (myla_1, myla only), TAD level:1; TRIM59 (myla_1, myla only), TAD level:not found",
rs633724,PRDM1; PREP,PRDM1,"PRDM1 (hacat_stim_2, hacat_stim only), TAD level:2; PREP (hacat_stim only), TAD level:1","PRDM1 (hacat_unstim_2 only), TAD level:2","PRDM1 (all), TAD level:1; PREP (myla only), TAD level:not found",PRDM1 (all)
rs6598008,PHRF1; RASSF7; SIRT3; LRRC56; HRAS; DEAF1; TMEM80; EPS8L2; TALDO1; GATD1; SLC25A22; PIDD1; RPLP2; BET1L; RIC8A; CEND1; IRF7; LMNTD2; PSMD13; PANO1,PHRF1; RASSF7; LRRC56; HRAS; DEAF1; TMEM80; EPS8L2; TALDO1; SLC25A22; PIDD1; RPLP2; CEND1; IRF7; LMNTD2,"PHRF1 (hacat_stim_2, hacat_stim only), TAD level:1; RASSF7 (hacat_stim_2, hacat_stim only), TAD level:1; DEAF1 (hacat_stim only), TAD level:2; TMEM80 (hacat_stim only), TAD level:2; EPS8L2 (hacat_stim only), TAD level:2; TALDO1 (hacat_stim only), TAD level:2; GATD1 (hacat_stim only), TAD level:2; SLC25A22 (hacat_stim only), TAD level:2; PIDD1 (hacat_stim_2, hacat_stim only), TAD level:2; RPLP2 (hacat_stim_2, hacat_stim only), TAD level:2; BET1L (hacat_stim only), TAD level:not found; RIC8A (hacat_stim only), TAD level:not found; IRF7 (hacat_stim_2, hacat_stim only), TAD level:1; LMNTD2 (hacat_stim_2, hacat_stim only), TAD level:1; PANO1 (hacat_stim only), TAD level:2","PHRF1 (hacat_unstim_2, hacat_unstim only), TAD level:1; RASSF7 (hacat_unstim_2, hacat_unstim only), TAD level:1; HRAS (hacat_unstim only), TAD level:2; DEAF1 (hacat_unstim_1, hacat_unstim only), TAD level:2; TMEM80 (hacat_unstim_1, hacat_unstim only), TAD level:2; EPS8L2 (hacat_unstim_1, hacat_unstim only), TAD level:2; TALDO1 (hacat_unstim_2, hacat_unstim only), TAD level:2; SLC25A22 (hacat_unstim only), TAD level:2; PIDD1 (hacat_unstim only), TAD level:not found; RPLP2 (hacat_unstim only), TAD level:not found; BET1L (hacat_unstim_2, hacat_unstim only), TAD level:not found; RIC8A (hacat_unstim_2, hacat_unstim only), TAD level:not found; IRF7 (hacat_unstim_2, hacat_unstim only), TAD level:1; LMNTD2 (hacat_unstim_2, hacat_unstim only), TAD level:1","PHRF1 (myla only), TAD level:1; DEAF1 (myla only), TAD level:2; TMEM80 (myla only), TAD level:2; EPS8L2 (all), TAD level:2","PHRF1 (all); RASSF7 (all); SIRT3 (naive_T only); DEAF1 (all); TMEM80 (all); EPS8L2 (all); TALDO1 (naive_T_1, naive_T only); GATD1 (naive_T_1, naive_T only); SLC25A22 (all); PIDD1 (all); RPLP2 (naive_T_2, naive_T only); BET1L (naive_T_1, naive_T only); RIC8A (naive_T_1, naive_T only); IRF7 (all); LMNTD2 (all); PSMD13 (naive_T only); PANO1 (all)"
rs685985,NSMAF; RAB2A; CHD7; ASPH,CHD7,"RAB2A (hacat_stim only), TAD level:3; CHD7 (hacat_stim_2, hacat_stim only), TAD level:2; ASPH (hacat_stim only), TAD level:outside tad","CHD7 (hacat_unstim_2, hacat_unstim only), TAD level:2","CHD7 (myla only), TAD level:1","NSMAF (naive_T only); RAB2A (naive_T only); CHD7 (all); ASPH (naive_T_1, naive_T only)"
rs7355798,FLNB,,,,"FLNB (myla_1 only), TAD level:3",
rs883770,CACNB1; GSDMB (overlapping); RPL19; PSMD3; RPL23; CCR7; STARD3; RARA; GRB7; MIEN1; IKZF3; ORMDL3; EIF1; TCAP; ZPBP2; MLLT6,GSDMB; PSMD3; CCR7; STARD3; RARA; MIEN1; IKZF3; ORMDL3; ZPBP2; MLLT6,"GSDMB (all), TAD level:1; PSMD3 (all), TAD level:not found; STARD3 (all), TAD level:1; GRB7 (all), TAD level:1; MIEN1 (all), TAD level:1; ORMDL3 (all), TAD level:1","PSMD3 (hacat_unstim_2, hacat_unstim only), TAD level:not found; STARD3 (hacat_unstim_2, hacat_unstim only), TAD level:1; GRB7 (hacat_unstim_2, hacat_unstim only), TAD level:1; MIEN1 (hacat_unstim_2, hacat_unstim only), TAD level:1; ORMDL3 (all), TAD level:1","CACNB1 (myla_1, myla only), TAD level:1; GSDMB (all), TAD level:2; RPL19 (myla_1, myla only), TAD level:1; PSMD3 (all), TAD level:not found; RPL23 (myla only), TAD level:1; STARD3 (all), TAD level:1; MIEN1 (myla only), TAD level:2; IKZF3 (all), TAD level:2; ORMDL3 (all), TAD level:2","GSDMB (all); PSMD3 (all); STARD3 (all); MIEN1 (naive_T_2, naive_T only); IKZF3 (all); ORMDL3 (all); EIF1 (naive_T only); TCAP (naive_T_1, naive_T only)"
rs9884090,ARHGAP31; NDUFB4; GSK3B; TIMMDC1; B4GALT4; COX17; PLA1A; RABL3; GTF2E1; POGLUT1 (overlapping); LRRC58; TMEM39A (overlapping),ARHGAP31; COX17; POGLUT1; TMEM39A,"ARHGAP31 (hacat_stim_2, hacat_stim only), TAD level:not found; TIMMDC1 (hacat_stim_2, hacat_stim only), TAD level:1; COX17 (hacat_stim_2, hacat_stim only), TAD level:1; POGLUT1 (all), TAD level:1; TMEM39A (all), TAD level:1","ARHGAP31 (hacat_unstim_2, hacat_unstim only), TAD level:not found; TIMMDC1 (hacat_unstim_2, hacat_unstim only), TAD level:not found; COX17 (hacat_unstim_2, hacat_unstim only), TAD level:not found; POGLUT1 (all), TAD level:not found; TMEM39A (all), TAD level:not found","TIMMDC1 (myla_2 only), TAD level:1; COX17 (all), TAD level:1; PLA1A (myla only), TAD level:1; POGLUT1 (all), TAD level:1; TMEM39A (all), TAD level:1","NDUFB4 (all); GSK3B (all); TIMMDC1 (all); B4GALT4 (all); COX17 (all); RABL3 (all); GTF2E1 (all); POGLUT1 (all); LRRC58 (naive_T_2, naive_T only); TMEM39A (all)"
